rfc,title,year,tags,full_paths
RFC807,Multimedia mail meeting notes,1982,mime,messaging / mime
RFC808,Summary of computer mail services meeting held at BBN on 10 January 1979,1982,email,messaging / email
RFC809,UCL facsimile system,1982,fax,messaging / fax
RFC810,DoD Internet host table specification,1982,hostnames,naming-and-discovery / hostnames
RFC811,Hostnames Server,1982,hostnames,naming-and-discovery / hostnames
RFC812,NICNAME/WHOIS,1982,whois,naming-and-discovery / domain-registration / whois
RFC813,Window and Acknowledgement Strategy in TCP,1982,tcp,transport / tcp
RFC814,"Name, addresses, ports, and routes",1982,arpanet,link-layer / arpanet
RFC815,IP datagram reassembly algorithms,1982,ipv4,internet-layer / ipv4
RFC816,Fault isolation and recovery,1982,arpanet,link-layer / arpanet
RFC817,Modularity and efficiency in protocol implementation,1982,arpanet,link-layer / arpanet
RFC818,Remote User Telnet service,1982,telnet,applications-and-data-formats / telnet
RFC819,The Domain Naming Convention for Internet User Applications,1982,arpanet,link-layer / arpanet
RFC820,Assigned numbers,1982,iana,governance-and-process / iana
RFC821,Simple Mail Transfer Protocol,1982,smtp,messaging / email / smtp
RFC822,STANDARD FOR THE FORMAT OF ARPA INTERNET TEXT MESSAGES,1982,message-format,messaging / email / message-format
RFC823,DARPA Internet gateway,1982,arpanet,link-layer / arpanet
RFC824,CRONUS Virtual Local Network,1982,arpanet,link-layer / arpanet
RFC825,Request for comments on Requests For Comments,1982,arpanet,link-layer / arpanet
RFC826,An Ethernet Address Resolution Protocol: Or Converting Network Protocol Addresses to 48.bit Ethernet Address for Transmission on Ethernet Hardware,1982,arp;ethernet,link-layer / arp | link-layer / ethernet
RFC827,Exterior Gateway Protocol (EGP),1982,egp,routing / egp
RFC828,"Data communications: IFIP's international ""network"" of experts",1982,arpanet,link-layer / arpanet
RFC829,Packet satellite technology reference sources,1982,satellite,link-layer / satellite
RFC830,Distributed system for Internet name service,1982,arpanet,link-layer / arpanet
RFC831,Backup access to the European side of SATNET,1982,arpanet,link-layer / arpanet
RFC832,Who talks TCP?,1982,tcp,transport / tcp
RFC833,Who talks TCP?,1982,tcp,transport / tcp
RFC834,Who talks TCP?,1982,tcp,transport / tcp
RFC835,Who talks TCP?,1982,tcp,transport / tcp
RFC836,Who talks TCP?,1983,tcp,transport / tcp
RFC837,Who talks TCP?,1983,tcp,transport / tcp
RFC838,Who talks TCP?,1983,tcp,transport / tcp
RFC839,Who talks TCP?,1983,tcp,transport / tcp
RFC840,Official protocols,1983,ietf-process,governance-and-process / ietf-process
RFC841,Specification for message format for Computer Based Message Systems,1983,message-format,messaging / email / message-format
RFC842,Who talks TCP? - survey of 1 February 83,1983,tcp,transport / tcp
RFC843,Who talks TCP? - survey of 8 February 83,1983,tcp,transport / tcp
RFC844,"Who talks ICMP, too? - Survey of 18 February 1983",1983,icmp,internet-layer / icmp
RFC845,Who talks TCP? - survey of 15 February 1983,1983,tcp,transport / tcp
RFC846,Who talks TCP? - survey of 22 February 1983,1983,tcp,transport / tcp
RFC847,Summary of Smallberg surveys,1983,smtp;ftp;telnet,applications-and-data-formats / ftp | applications-and-data-formats / telnet | messaging / email / smtp
RFC848,"Who provides the ""little"" TCP services?",1983,tcp,transport / tcp
RFC849,Suggestions for improved host table distribution,1983,hostnames,naming-and-discovery / hostnames
RFC850,Standard for interchange of USENET messages,1983,netnews,messaging / netnews
RFC851,ARPANET 1822L Host Access Protocol,1983,arpanet;satellite,link-layer / arpanet | link-layer / satellite
RFC852,ARPANET short blocking feature,1983,arpanet,link-layer / arpanet
RFC854,Telnet Protocol Specification,1983,telnet,applications-and-data-formats / telnet
RFC855,Telnet Option Specifications,1983,telnet,applications-and-data-formats / telnet
RFC856,Telnet Binary Transmission,1983,telnet,applications-and-data-formats / telnet
RFC857,Telnet Echo Option,1983,telnet,applications-and-data-formats / telnet
RFC858,Telnet Suppress Go Ahead Option,1983,telnet,applications-and-data-formats / telnet
RFC859,Telnet Status Option,1983,telnet,applications-and-data-formats / telnet
RFC860,Telnet Timing Mark Option,1983,telnet,applications-and-data-formats / telnet
RFC861,Telnet Extended Options: List Option,1983,telnet,applications-and-data-formats / telnet
RFC862,Echo Protocol,1983,small-services,applications-and-data-formats / small-services
RFC863,Discard Protocol,1983,small-services,applications-and-data-formats / small-services
RFC864,Character Generator Protocol,1983,small-services,applications-and-data-formats / small-services
RFC865,Quote of the Day Protocol,1983,small-services,applications-and-data-formats / small-services
RFC866,Active users,1983,small-services,applications-and-data-formats / small-services
RFC867,Daytime Protocol,1983,small-services;time-synchronization,applications-and-data-formats / small-services | network-operations / time-synchronization
RFC868,Time Protocol,1983,time-synchronization,network-operations / time-synchronization
RFC869,Host Monitoring Protocol,1983,network-management,network-operations / network-management
RFC870,Assigned numbers,1983,iana,governance-and-process / iana
RFC871,Perspective on the ARPANET reference model,1982,arpanet,link-layer / arpanet
RFC872,TCP-on-a-LAN,1982,tcp,transport / tcp
RFC873,Illusion of vendor support,1982,arpanet,link-layer / arpanet
RFC874,Critique of X.25,1982,x25,link-layer / x25
RFC875,"Gateways, architectures, and heffalumps",1982,arpanet,link-layer / arpanet
RFC876,Survey of SMTP implementations,1983,smtp,messaging / email / smtp
RFC877,Standard for the transmission of IP datagrams over public data networks,1983,ipv4,internet-layer / ipv4
RFC878,ARPANET 1822L Host Access Protocol,1983,arpanet;satellite,link-layer / arpanet | link-layer / satellite
RFC879,The TCP Maximum Segment Size and Related Topics,1983,tcp,transport / tcp
RFC880,Official protocols,1983,ietf-process,governance-and-process / ietf-process
RFC881,Domain names plan and schedule,1983,dns,naming-and-discovery / dns
RFC882,Domain names: Concepts and facilities,1983,dns,naming-and-discovery / dns
RFC883,Domain names: Implementation specification,1983,dns,naming-and-discovery / dns
RFC884,Telnet terminal type option,1983,telnet,applications-and-data-formats / telnet
RFC885,Telnet end of record option,1983,telnet,applications-and-data-formats / telnet
RFC886,Proposed standard for message header munging,1983,message-format,messaging / email / message-format
RFC887,Resource Location Protocol,1983,ietf-process;addressing,governance-and-process / ietf-process | internet-layer / addressing
RFC888,"""STUB"" Exterior Gateway Protocol",1984,egp,routing / egp
RFC889,Internet Delay Experiments,1983,tcp,transport / tcp
RFC890,Exterior Gateway Protocol implementation schedule,1984,egp,routing / egp
RFC891,DCN Local-Network Protocols,1983,time-synchronization,network-operations / time-synchronization
RFC892,ISO Transport Protocol specification,1983,osi,internet-layer / osi
RFC893,Trailer encapsulations,1984,tunneling,internet-layer / tunneling
RFC894,A Standard for the Transmission of IP Datagrams over Ethernet Networks,1984,ethernet;ipv4,internet-layer / ipv4 | link-layer / ethernet
RFC895,Standard for the transmission of IP datagrams over experimental Ethernet networks,1984,ethernet;ipv4,internet-layer / ipv4 | link-layer / ethernet
RFC896,Congestion Control in IP/TCP Internetworks,1984,tcp;congestion-control,transport / congestion-control | transport / tcp
RFC897,Domain name system implementation schedule,1984,dns,naming-and-discovery / dns
RFC898,Gateway special interest group meeting notes,1984,routing-architecture,routing / routing-architecture
RFC899,Request For Comments summary notes: 800-899,1984,rfc-series,governance-and-process / rfc-series
RFC900,Assigned Numbers,1984,iana,governance-and-process / iana
RFC901,Official ARPA-Internet protocols,1984,ietf-process,governance-and-process / ietf-process
RFC902,ARPA Internet Protocol policy,1984,internet-governance,governance-and-process / internet-governance
RFC903,A Reverse Address Resolution Protocol,1984,arp,link-layer / arp
RFC904,Exterior Gateway Protocol formal specification,1984,egp,routing / egp
RFC905,ISO Transport Protocol specification ISO DP 8073,1984,osi,internet-layer / osi
RFC906,Bootstrap loading using TFTP,1984,tftp,applications-and-data-formats / tftp
RFC907,Host Access Protocol specification,1984,satellite,link-layer / satellite
RFC908,Reliable Data Protocol,1984,rdp,transport / rdp
RFC909,Loader Debugger Protocol,1984,ldp,routing / mpls / ldp
RFC910,Multimedia mail meeting notes,1984,mime,messaging / mime
RFC911,EGP Gateway under Berkeley UNIX 4.2,1984,egp,routing / egp
RFC912,Authentication service,1984,tcp;ftp,applications-and-data-formats / ftp | transport / tcp
RFC913,Simple File Transfer Protocol,1984,ftp,applications-and-data-formats / ftp
RFC914,Thinwire protocol for connecting personal computers to the Internet,1984,slip,link-layer / slip
RFC915,Network mail path service,1984,uucp;tcp,messaging / uucp | transport / tcp
RFC916,Reliable Asynchronous Transfer Protocol (RATP),1984,ratp,transport / ratp
RFC917,Internet subnets,1984,addressing,internet-layer / addressing
RFC918,Post Office Protocol,1984,pop3,messaging / email / pop3
RFC919,Broadcasting Internet Datagrams,1984,addressing,internet-layer / addressing
RFC920,Domain requirements,1984,dns;domain-registration,naming-and-discovery / dns | naming-and-discovery / domain-registration
RFC921,Domain name system implementation schedule - revised,1984,dns,naming-and-discovery / dns
RFC922,Broadcasting Internet datagrams in the presence of subnets,1984,addressing,internet-layer / addressing
RFC923,Assigned numbers,1984,iana,governance-and-process / iana
RFC924,Official ARPA-Internet protocols for connecting personal computers to the Internet,1984,ietf-process,governance-and-process / ietf-process
RFC925,Multi-LAN address resolution,1984,arp;addressing,internet-layer / addressing | link-layer / arp
RFC926,Protocol for providing the connectionless mode network services,1984,clnp,internet-layer / osi / clnp
RFC927,TACACS user identification Telnet option,1984,tacacs;telnet,applications-and-data-formats / telnet | security / aaa / tacacs
RFC928,Introduction to proposed DoD standard H-FP,1984,arpanet,link-layer / arpanet
RFC929,Proposed Host-Front End Protocol,1984,arpanet,link-layer / arpanet
RFC930,Telnet terminal type option,1985,telnet,applications-and-data-formats / telnet
RFC931,Authentication server,1985,ident,security / cryptography / ident
RFC932,Subnetwork addressing scheme,1985,ncp;addressing,internet-layer / addressing | transport / ncp
RFC933,Output marking Telnet option,1985,telnet,applications-and-data-formats / telnet
RFC934,Proposed standard for message encapsulation,1985,message-format,messaging / email / message-format
RFC935,Reliable link layer protocols,1985,slip,link-layer / slip
RFC936,Another Internet subnet addressing scheme,1985,addressing,internet-layer / addressing
RFC937,Post Office Protocol: Version 2,1985,pop3,messaging / email / pop3
RFC938,Internet Reliable Transaction Protocol functional and interface specification,1985,irtp,transport / irtp
RFC939,Executive summary of the NRC report on transport protocols for Department of Defense data networks,1985,tcp;osi;x25,internet-layer / osi | link-layer / x25 | transport / tcp
RFC940,Toward an Internet standard scheme for subnetting,1985,addressing,internet-layer / addressing
RFC941,Addendum to the network service definition covering network layer addressing,1985,clnp;osi,internet-layer / osi | internet-layer / osi / clnp
RFC942,Transport protocols for Department of Defense data networks,1985,tcp;osi,internet-layer / osi | transport / tcp
RFC943,Assigned numbers,1985,iana,governance-and-process / iana
RFC944,Official ARPA-Internet protocols,1985,ietf-process,governance-and-process / ietf-process
RFC945,DoD statement on the NRC report,1985,internet-governance,governance-and-process / internet-governance
RFC946,Telnet terminal location number option,1985,telnet,applications-and-data-formats / telnet
RFC947,Multi-network broadcasting within the Internet,1985,addressing,internet-layer / addressing
RFC948,Two methods for the transmission of IP datagrams over IEEE 802.3 networks,1985,ethernet;ipv4,internet-layer / ipv4 | link-layer / ethernet
RFC949,FTP unique-named store command,1985,ftp,applications-and-data-formats / ftp
RFC950,Internet Standard Subnetting Procedure,1985,addressing,internet-layer / addressing
RFC951,Bootstrap Protocol,1985,dhcp,internet-layer / dhcp
RFC952,DoD Internet host table specification,1985,hostnames,naming-and-discovery / hostnames
RFC953,Hostname Server,1985,dns,naming-and-discovery / dns
RFC954,NICNAME/WHOIS,1985,whois,naming-and-discovery / domain-registration / whois
