rfc,title,year,tags,full_paths
RFC1,Host Software,1969,ncp,transport / ncp
RFC2,Host software,1969,ncp,transport / ncp
RFC3,Documentation conventions,1969,rfc-series,governance-and-process / rfc-series
RFC4,Network timetable,1969,time-synchronization,network-operations / time-synchronization
RFC5,Decode Encode Language (DEL),1969,arpanet,link-layer / arpanet
RFC6,Conversation with Bob Kahn,1969,arpanet,link-layer / arpanet
RFC7,Host-IMP interface,1969,arpanet,link-layer / arpanet
RFC8,ARPA Network Functional Specifications,1969,arpanet,link-layer / arpanet
RFC9,Host Software,1969,ncp,transport / ncp
RFC10,Documentation conventions,1969,rfc-series,governance-and-process / rfc-series
RFC11,Implementation of the Host - Host Software Procedures in GORDO,1969,ncp,transport / ncp
RFC12,IMP-Host interface flow diagrams,1969,arpanet,link-layer / arpanet
RFC13,Zero Text Length EOF Message,1969,arpanet,link-layer / arpanet
RFC15,Network subsystem for time sharing hosts,1969,arpanet,link-layer / arpanet
RFC16,M.I.T,1969,arpanet,link-layer / arpanet
RFC17,Some questions re: Host-IMP Protocol,1969,arpanet,link-layer / arpanet
RFC18,IMP-IMP and HOST-HOST Control Links,1969,arpanet;ncp,link-layer / arpanet | transport / ncp
RFC19,Two protocol suggestions to reduce congestion at swap bound nodes,1969,arpanet,link-layer / arpanet
RFC20,ASCII format for network interchange,1969,character-sets,applications-and-data-formats / internationalization / character-sets
RFC21,Network meeting,1969,arpanet,link-layer / arpanet
RFC22,Host-host control message formats,1969,ncp,transport / ncp
RFC23,Transmission of Multiple Control Messages,1969,arpanet,link-layer / arpanet
RFC24,Documentation Conventions,1969,rfc-series,governance-and-process / rfc-series
RFC25,No High Link Numbers,1969,arpanet,link-layer / arpanet
RFC27,Documentation Conventions,1969,rfc-series,governance-and-process / rfc-series
RFC28,Time Standards,1970,time-synchronization,network-operations / time-synchronization
RFC29,Response to RFC 28,1970,arpanet,link-layer / arpanet
RFC30,Documentation Conventions,1970,rfc-series,governance-and-process / rfc-series
RFC31,Binary Message Forms in Computer,1968,arpanet,link-layer / arpanet
RFC32,Some Thoughts on SRI's Proposed Real Time Clock,1970,arpanet,link-layer / arpanet
RFC33,New Host-Host Protocol,1970,ncp,transport / ncp
RFC34,Some Brief Preliminary Notes on the Augmentation Research Center Clock,1970,arpanet,link-layer / arpanet
RFC35,Network Meeting,1970,arpanet,link-layer / arpanet
RFC36,Protocol Notes,1970,arpanet,link-layer / arpanet
RFC37,"Network Meeting Epilogue, etc",1970,arpanet,link-layer / arpanet
RFC38,Comments on Network Protocol from NWG/RFC #36,1970,arpanet,link-layer / arpanet
RFC39,Comments on Protocol Re: NWG/RFC #36,1970,arpanet,link-layer / arpanet
RFC40,More Comments on the Forthcoming Protocol,1970,arpanet,link-layer / arpanet
RFC41,IMP-IMP Teletype Communication,1970,arpanet,link-layer / arpanet
RFC42,Message Data Types,1970,arpanet,link-layer / arpanet
RFC43,Proposed Meeting,1970,arpanet,link-layer / arpanet
RFC44,Comments on NWG/RFC 33 and 36,1970,arpanet,link-layer / arpanet
RFC45,New Protocol is Coming,1970,arpanet,link-layer / arpanet
RFC46,ARPA Network protocol notes,1970,arpanet,link-layer / arpanet
RFC47,BBN's Comments on NWG/RFC #33,1970,arpanet,link-layer / arpanet
RFC48,Possible protocol plateau,1970,arpanet,link-layer / arpanet
RFC49,Conversations with S. Crocker (UCLA),1970,arpanet,link-layer / arpanet
RFC50,Comments on the Meyer Proposal,1970,arpanet,link-layer / arpanet
RFC51,Proposal for a Network Interchange Language,1970,arpanet,link-layer / arpanet
RFC52,Updated distribution list,1970,arpanet,link-layer / arpanet
RFC53,Official protocol mechanism,1970,arpanet,link-layer / arpanet
RFC54,Official Protocol Proffering,1970,arpanet,link-layer / arpanet
RFC55,Prototypical implementation of the NCP,1970,ncp,transport / ncp
RFC56,Third Level Protocol: Logger Protocol,1970,ncp,transport / ncp
RFC57,Thoughts and Reflections on NWG/RFC 54,1970,arpanet,link-layer / arpanet
RFC58,Logical Message Synchronization,1970,arpanet,link-layer / arpanet
RFC59,Flow Control - Fixed Versus Demand Allocation,1970,arpanet,link-layer / arpanet
RFC60,A Simplified NCP Protocol,1970,ncp,transport / ncp
RFC61,Note on Interprocess Communication in a Resource Sharing Computer Network,1970,arpanet,link-layer / arpanet
RFC62,Systems for Interprocess Communication in a Resource Sharing Computer Network,1970,arpanet,link-layer / arpanet
RFC63,Belated Network Meeting Report,1970,arpanet,link-layer / arpanet
RFC64,Getting rid of marking,1970,arpanet,link-layer / arpanet
RFC65,Comments on Host/Host Protocol document #1,1970,arpanet,link-layer / arpanet
RFC66,NIC - third level ideas and other noise,1970,arpanet,link-layer / arpanet
RFC67,Proposed Change to Host/IMP Spec to Eliminate Marking,1970,arpanet,link-layer / arpanet
RFC68,"Comments on Memory Allocation Control Commands: CEASE, ALL, GVB, RET, and RFNM",1970,arpanet,link-layer / arpanet
RFC69,Distribution List Change for MIT,1970,arpanet,link-layer / arpanet
RFC70,Note on Padding,1970,arpanet,link-layer / arpanet
RFC71,Reallocation in Case of Input Error,1970,arpanet,link-layer / arpanet
RFC72,Proposed Moratorium on Changes to Network Protocol,1970,arpanet,link-layer / arpanet
RFC73,Response to NWG/RFC 67,1970,arpanet,link-layer / arpanet
RFC74,Specifications for Network Use of the UCSB On-Line System,1970,arpanet,link-layer / arpanet
RFC75,Network Meeting,1970,arpanet,link-layer / arpanet
RFC76,Connection by name: User oriented protocol,1970,arpanet,link-layer / arpanet
RFC77,Network meeting report,1970,arpanet,link-layer / arpanet
RFC78,NCP Status Report: UCSB/Rand,1970,ncp,transport / ncp
RFC79,Logger Protocol error,1970,ncp,transport / ncp
RFC80,Protocols and Data Formats,1970,arpanet,link-layer / arpanet
RFC81,Request for Reference Information,1970,arpanet,link-layer / arpanet
RFC82,Network Meeting Notes,1970,arpanet,link-layer / arpanet
RFC83,Language-machine for data reconfiguration,1970,arpanet,link-layer / arpanet
RFC84,List of NWG/RFC's 1-80,1970,arpanet,link-layer / arpanet
RFC85,Network Working Group meeting,1970,arpanet,link-layer / arpanet
RFC86,Proposal for a Network Standard Format for a Data Stream to Control Graphics Display,1971,network-graphics,applications-and-data-formats / network-graphics
RFC87,Topic for Discussion at the Next Network Working Group Meeting,1971,arpanet,link-layer / arpanet
RFC88,NETRJS: A third level protocol for Remote Job Entry,1971,rje,applications-and-data-formats / rje
RFC89,Some historic moments in networking,1971,arpanet,link-layer / arpanet
RFC90,CCN as a Network Service Center,1971,icn,internet-layer / icn
RFC91,Proposed User-User Protocol,1970,arpanet,link-layer / arpanet
RFC93,Initial Connection Protocol,1971,arpanet,link-layer / arpanet
RFC94,Some thoughts on Network Graphics,1971,network-graphics,applications-and-data-formats / network-graphics
RFC95,Distribution of NWG/RFC's through the NIC,1971,arpanet,link-layer / arpanet
RFC96,An Interactive Network Experiment to Study Modes of Access the Network Information Center,1971,arpanet,link-layer / arpanet
RFC97,First Cut at a Proposed Telnet Protocol,1971,telnet,applications-and-data-formats / telnet
RFC98,Logger Protocol Proposal,1971,ncp,transport / ncp
RFC99,Network Meeting,1971,arpanet,link-layer / arpanet
RFC100,Categorization and guide to NWG/RFCs,1971,arpanet,link-layer / arpanet
RFC101,"Notes on the Network Working Group meeting, Urbana, Illinois, February 17, 1971",1971,arpanet,link-layer / arpanet
RFC102,Output of the Host-Host Protocol glitch cleaning committee,1971,ncp,transport / ncp
RFC103,Implementation of Interrupt Keys,1971,arpanet,link-layer / arpanet
RFC104,Link 191,1971,arpanet,link-layer / arpanet
RFC105,Network Specifications for Remote Job Entry and Remote Job Output Retrieval at UCSB,1971,rje,applications-and-data-formats / rje
RFC106,User/Server Site Protocol Network Host Questionnaire,1971,arpanet,link-layer / arpanet
RFC107,Output of the Host-Host Protocol Glitch Cleaning Committee,1971,ncp,transport / ncp
RFC108,"Attendance list at the Urbana NWG meeting, February 17-19, 1971",1971,arpanet,link-layer / arpanet
RFC109,Level III Server Protocol for the Lincoln Laboratory 360/67 Host,1971,arpanet,link-layer / arpanet
RFC110,Conventions for Using an IBM 2741 Terminal as a User Console for Access to Network Server Hosts,1971,arpanet,link-layer / arpanet
RFC111,Pressure from the Chairman,1971,arpanet,link-layer / arpanet
RFC112,User/Server Site Protocol: Network Host Questionnaire,1971,arpanet,link-layer / arpanet
RFC113,Network activity report: UCSB Rand,1971,arpanet,link-layer / arpanet
RFC114,File Transfer Protocol,1971,ftp,applications-and-data-formats / ftp
RFC115,Some Network Information Center policies on handling documents,1971,arpanet,link-layer / arpanet
RFC116,Structure of the May NWG Meeting,1971,arpanet,link-layer / arpanet
RFC117,Some comments on the official protocol,1971,arpanet,link-layer / arpanet
RFC118,Recommendations for facility documentation,1971,arpanet,link-layer / arpanet
RFC119,Network Fortran Subprograms,1971,arpanet,link-layer / arpanet
RFC120,Network PL1 subprograms,1971,arpanet,link-layer / arpanet
RFC121,Network on-line operators,1971,arpanet,link-layer / arpanet
RFC122,Network specifications for UCSB's Simple-Minded File System,1971,arpanet,link-layer / arpanet
RFC123,Proffered Official ICP,1971,arpanet,link-layer / arpanet
RFC124,Typographical error in RFC 107,1971,arpanet,link-layer / arpanet
RFC125,Response to RFC 86: Proposal for Network Standard Format for a Graphics Data Stream,1971,network-graphics,applications-and-data-formats / network-graphics
RFC126,Graphics Facilities at Ames Research Center,1971,network-graphics,applications-and-data-formats / network-graphics
RFC127,Comments on RFC 123,1971,arpanet,link-layer / arpanet
RFC128,Bytes,1971,arpanet,link-layer / arpanet
RFC129,Request for comments on socket name structure,1971,arpanet,link-layer / arpanet
RFC130,Response to RFC 111: Pressure from the chairman,1971,arpanet,link-layer / arpanet
RFC131,Response to RFC 116: May NWG meeting,1971,arpanet,link-layer / arpanet
RFC132,Typographical Error in RFC 107,1971,arpanet,link-layer / arpanet
RFC133,File Transfer and Error Recovery,1971,ftp,applications-and-data-formats / ftp
RFC134,Network Graphics meeting,1971,network-graphics,applications-and-data-formats / network-graphics
RFC135,Response to NWG/RFC 110,1971,arpanet,link-layer / arpanet
RFC136,Host accounting and administrative procedures,1971,arpanet,link-layer / arpanet
RFC137,Telnet Protocol - a proposed document,1971,telnet,applications-and-data-formats / telnet
RFC138,Status report on proposed Data Reconfiguration Service,1971,arpanet,link-layer / arpanet
RFC139,Discussion of Telnet Protocol,1971,telnet,applications-and-data-formats / telnet
RFC140,Agenda for the May NWG meeting,1971,arpanet,link-layer / arpanet
RFC141,Comments on RFC 114: A File Transfer Protocol,1971,ftp,applications-and-data-formats / ftp
RFC142,Time-Out Mechanism in the Host-Host Protocol,1971,ncp,transport / ncp
RFC143,Regarding proffered official ICP,1971,arpanet,link-layer / arpanet
RFC144,Data sharing on computer networks,1971,arpanet,link-layer / arpanet
RFC145,Initial Connection Protocol Control Commands,1971,arpanet,link-layer / arpanet
RFC146,Views on issues relevant to data sharing on computer networks,1971,arpanet,link-layer / arpanet
RFC147,Definition of a socket,1971,arpanet,link-layer / arpanet
RFC148,Comments on RFC 123,1971,arpanet,link-layer / arpanet
RFC149,Best Laid Plans,1971,arpanet,link-layer / arpanet
RFC150,Use of IPC Facilities: A Working Paper,1971,arpanet,link-layer / arpanet
RFC151,"Comments on a proffered official ICP: RFCs 123, 127",1971,arpanet,link-layer / arpanet
RFC152,SRI Artificial Intelligence status report,1971,arpanet,link-layer / arpanet
RFC153,SRI ARC-NIC status,1971,arpanet,link-layer / arpanet
RFC154,Exposition Style,1971,arpanet,link-layer / arpanet
RFC155,ARPA Network mailing lists,1971,mailing-lists;arpanet,link-layer / arpanet | messaging / email / mailing-lists
RFC156,Status of the Illinois site: Response to RFC 116,1971,arpanet,link-layer / arpanet
RFC157,Invitation to the Second Symposium on Problems in the Optimization of Data Communications Systems,1971,arpanet,link-layer / arpanet
RFC158,Telnet Protocol: A Proposed Document,1971,telnet,applications-and-data-formats / telnet
RFC160,RFC brief list,1971,arpanet,link-layer / arpanet
RFC161,Solution to the race condition in the ICP,1971,arpanet,link-layer / arpanet
RFC162,NETBUGGER3,1971,arpanet,link-layer / arpanet
RFC163,Data transfer protocols,1971,ftp,applications-and-data-formats / ftp
RFC164,"Minutes of Network Working Group meeting, 5/16 through 5/19/71",1971,arpanet,link-layer / arpanet
RFC165,Proffered Official Initial Connection Protocol,1971,arpanet,link-layer / arpanet
RFC166,Data Reconfiguration Service: An implementation specification,1971,arpanet,link-layer / arpanet
RFC167,Socket conventions reconsidered,1971,arpanet,link-layer / arpanet
RFC168,ARPA Network mailing lists,1971,mailing-lists;arpanet,link-layer / arpanet | messaging / email / mailing-lists
RFC169,COMPUTER NETWORKS,1971,arpanet,link-layer / arpanet
RFC170,RFC List by Number,1971,arpanet,link-layer / arpanet
RFC171,The Data Transfer Protocol,1971,ftp,applications-and-data-formats / ftp
RFC172,The File Transfer Protocol,1971,ftp,applications-and-data-formats / ftp
RFC173,Network Data Management Committee Meeting Announcement,1971,arpanet,link-layer / arpanet
RFC174,UCLA - Computer Science Graphics Overview,1971,network-graphics,applications-and-data-formats / network-graphics
RFC175,"Comments on ""Socket Conventions Reconsidered""",1971,arpanet,link-layer / arpanet
RFC176,"Comments on ""Byte size for connections""",1971,arpanet,link-layer / arpanet
RFC177,Device independent graphical display description,1971,network-graphics,applications-and-data-formats / network-graphics
RFC178,Network graphic attention handling,1971,network-graphics,applications-and-data-formats / network-graphics
RFC179,Link Number Assignments,1971,arpanet,link-layer / arpanet
RFC180,File system questionnaire,1971,arpanet,link-layer / arpanet
RFC181,Modifications to RFC 177,1971,arpanet,link-layer / arpanet
RFC182,Compilation of list of relevant site reports,1971,arpanet,link-layer / arpanet
RFC183,EBCDIC Codes and Their Mapping to ASCII,1971,character-sets,applications-and-data-formats / internationalization / character-sets
RFC184,Proposed graphic display modes,1971,network-graphics,applications-and-data-formats / network-graphics
RFC185,NIC distribution of manuals and handbooks,1971,arpanet,link-layer / arpanet
RFC186,Network graphics loader,1971,network-graphics,applications-and-data-formats / network-graphics
RFC187,Network/440 Protocol Concept,1971,arpanet,link-layer / arpanet
RFC188,Data management meeting announcement,1971,arpanet,link-layer / arpanet
RFC189,Interim NETRJS specifications,1971,rje,applications-and-data-formats / rje
RFC190,DEC PDP-10-IMLAC communications system,1971,arpanet,link-layer / arpanet
RFC191,Graphics implementation and conceptualization at Augmentation Research Center,1971,network-graphics,applications-and-data-formats / network-graphics
RFC192,Some factors which a Network Graphics Protocol must consider,1971,network-graphics,applications-and-data-formats / network-graphics
RFC193,NETWORK CHECKOUT,1971,arpanet,link-layer / arpanet
RFC194,The Data Reconfiguration Service -- Compiler/Interpreter Implementation Notes,1971,arpanet,link-layer / arpanet
RFC195,Data computers-data descriptions and access language,1971,arpanet,link-layer / arpanet
RFC196,Mail Box Protocol,1971,arpanet,link-layer / arpanet
RFC197,Initial Connection Protocol - Reviewed,1971,arpanet,link-layer / arpanet
RFC198,Site Certification - Lincoln Labs 360/67,1971,arpanet,link-layer / arpanet
RFC199,Suggestions for a Network Data-Tablet Graphics Protocol,1971,network-graphics,applications-and-data-formats / network-graphics
RFC200,RFC list by number,1971,arpanet,link-layer / arpanet
RFC202,Possible Deadlock in ICP,1971,arpanet,link-layer / arpanet
RFC203,Achieving reliable communication,1971,arpanet,link-layer / arpanet
RFC204,Sockets in use,1971,arpanet,link-layer / arpanet
RFC205,NETCRT - a character display protocol,1971,arpanet,link-layer / arpanet
RFC206,A User TELNET Description of an Initial Implementation,1971,telnet,applications-and-data-formats / telnet
RFC207,September Network Working Group meeting,1971,arpanet,link-layer / arpanet
RFC208,Address tables,1971,arpanet,link-layer / arpanet
RFC209,Host/IMP interface documentation,1971,arpanet,link-layer / arpanet
RFC210,Improvement of Flow Control,1971,arpanet,link-layer / arpanet
RFC211,ARPA Network Mailing Lists,1971,mailing-lists;arpanet,link-layer / arpanet | messaging / email / mailing-lists
RFC212,NWG meeting on network usage,1971,arpanet,link-layer / arpanet
RFC213,IMP System change notification,1971,arpanet,link-layer / arpanet
RFC214,Network checkpoint,1971,arpanet,link-layer / arpanet
RFC215,"NCP, ICP, and Telnet: The Terminal IMP implementation",1971,ncp;arpanet;telnet,applications-and-data-formats / telnet | link-layer / arpanet | transport / ncp
RFC216,Telnet Access to UCSB's On-Line System,1971,telnet,applications-and-data-formats / telnet
RFC217,"Specifications changes for OLS, RJE/RJOR, and SMFS",1971,rje,applications-and-data-formats / rje
RFC218,Changing the IMP status reporting facility,1971,arpanet,link-layer / arpanet
RFC219,User's View of the Datacomputer,1971,arpanet,link-layer / arpanet
RFC221,Mail Box Protocol: Version 2,1971,arpanet,link-layer / arpanet
RFC222,Subject: System programmer's workshop,1971,workshop-reports,governance-and-process / workshop-reports
RFC223,Network Information Center schedule for network users,1971,arpanet,link-layer / arpanet
RFC224,Comments on Mailbox Protocol,1971,arpanet,link-layer / arpanet
RFC225,Rand/UCSB network graphics experiment,1971,network-graphics,applications-and-data-formats / network-graphics
RFC226,Standardization of host mnemonics,1971,arpanet,link-layer / arpanet
RFC227,Data transfer rates (Rand/UCLA),1971,arpanet,link-layer / arpanet
RFC228,Clarification,1971,arpanet,link-layer / arpanet
RFC229,Standard host names,1971,hostnames,naming-and-discovery / hostnames
RFC230,Toward reliable operation of minicomputer-based terminals on a TIP,1971,arpanet,link-layer / arpanet
RFC231,Service center standards for remote usage: A user's view,1971,arpanet,link-layer / arpanet
RFC232,Postponement of network graphics meeting,1971,network-graphics,applications-and-data-formats / network-graphics
RFC233,Standardization of host call letters,1971,arpanet,link-layer / arpanet
RFC234,Network Working Group meeting schedule,1971,arpanet,link-layer / arpanet
RFC235,Site status,1971,arpanet,link-layer / arpanet
RFC236,Standard host names,1971,hostnames,naming-and-discovery / hostnames
RFC237,NIC view of standard host names,1971,hostnames,naming-and-discovery / hostnames
RFC238,Comments on DTP and FTP proposals,1971,ftp,applications-and-data-formats / ftp
RFC239,Host mnemonics proposed in RFC 226 (NIC 7625),1971,arpanet,link-layer / arpanet
RFC240,Site Status,1971,arpanet,link-layer / arpanet
RFC241,Connecting computers to MLC ports,1971,arpanet,link-layer / arpanet
RFC242,Data Descriptive Language for Shared Data,1971,arpanet,link-layer / arpanet
RFC243,Network and data sharing bibliography,1971,arpanet,link-layer / arpanet
RFC245,Reservations for Network Group meeting,1971,arpanet,link-layer / arpanet
RFC246,Network Graphics meeting,1971,network-graphics,applications-and-data-formats / network-graphics
RFC247,Proffered set of standard host names,1971,hostnames,naming-and-discovery / hostnames
RFC249,Coordination of equipment and supplies purchase,1971,arpanet,link-layer / arpanet
RFC250,Some thoughts on file transfer,1971,arpanet,link-layer / arpanet
RFC251,Weather data,1971,arpanet,link-layer / arpanet
RFC252,Network host status,1971,arpanet,link-layer / arpanet
RFC253,Second Network Graphics meeting details,1971,network-graphics,applications-and-data-formats / network-graphics
RFC254,Scenarios for using ARPANET computers,1971,arpanet,link-layer / arpanet
RFC255,Status of network hosts,1971,arpanet,link-layer / arpanet
RFC256,IMPSYS change notification,1971,arpanet,link-layer / arpanet
RFC263,"""Very Distant"" Host interface",1971,arpanet,link-layer / arpanet
RFC264,The Data Transfer Protocol,1972,ftp,applications-and-data-formats / ftp
RFC265,The File Transfer Protocol,1971,ftp,applications-and-data-formats / ftp
RFC266,Network host status,1971,arpanet,link-layer / arpanet
RFC267,Network Host Status,1971,arpanet,link-layer / arpanet
RFC268,Graphics facilities information,1971,network-graphics,applications-and-data-formats / network-graphics
RFC269,Some Experience with File Transfer,1971,arpanet,link-layer / arpanet
RFC270,Correction to BBN Report No. 1822 (NIC NO 7958),1972,arpanet,link-layer / arpanet
RFC271,IMP System change notifications,1972,arpanet,link-layer / arpanet
RFC273,More on standard host names,1971,hostnames,naming-and-discovery / hostnames
RFC274,Establishing a local guide for network usage,1971,arpanet,link-layer / arpanet
RFC276,NIC course,1971,arpanet,link-layer / arpanet
RFC278,Revision of the Mail Box Protocol,1971,arpanet,link-layer / arpanet
RFC280,A Draft of Host Names,1971,hostnames,naming-and-discovery / hostnames
RFC281,Suggested addition to File Transfer Protocol,1971,ftp,applications-and-data-formats / ftp
RFC282,Graphics meeting report,1971,network-graphics,applications-and-data-formats / network-graphics
RFC283,NETRJT: Remote Job Service Protocol for TIPS,1971,arpanet,link-layer / arpanet
RFC285,Network graphics,1971,network-graphics,applications-and-data-formats / network-graphics
RFC286,Network Library Information System,1971,arpanet,link-layer / arpanet
RFC287,Status of Network Hosts,1971,arpanet,link-layer / arpanet
RFC288,Network host status,1972,arpanet,link-layer / arpanet
RFC289,What we hope is an official list of host names,1971,hostnames,naming-and-discovery / hostnames
RFC290,Computer networks and data sharing: A bibliography,1972,arpanet,link-layer / arpanet
RFC291,Data Management Meeting Announcement,1972,arpanet,link-layer / arpanet
RFC292,Graphics Protocol: Level 0 only,1972,network-graphics,applications-and-data-formats / network-graphics
RFC293,Network Host Status,1972,arpanet,link-layer / arpanet
RFC294,"The Use of ""Set Data Type"" Transaction in File Transfer Protocol",1972,ftp,applications-and-data-formats / ftp
RFC295,"Report of the Protocol Workshop, 12 October 1971",1972,workshop-reports,governance-and-process / workshop-reports
RFC296,DS-1 Display System,1972,arpanet,link-layer / arpanet
RFC297,TIP Message Buffers,1972,arpanet,link-layer / arpanet
RFC298,Network host status,1972,arpanet,link-layer / arpanet
RFC299,Information Management System,1972,arpanet,link-layer / arpanet
RFC300,ARPA Network mailing lists,1972,mailing-lists;arpanet,link-layer / arpanet | messaging / email / mailing-lists
RFC301,"BBN IMP (#5) and NCC Schedule March 4, 1971",1972,arpanet,link-layer / arpanet
RFC302,Exercising The ARPANET,1972,arpanet,link-layer / arpanet
RFC303,ARPA Network mailing lists,1972,mailing-lists;arpanet,link-layer / arpanet | messaging / email / mailing-lists
RFC304,Data Management System Proposal for the ARPA Network,1972,arpanet,link-layer / arpanet
RFC305,Unknown Host Numbers,1972,arpanet,link-layer / arpanet
RFC306,Network host status,1972,arpanet,link-layer / arpanet
RFC307,Using network Remote Job Entry,1972,rje,applications-and-data-formats / rje
RFC308,ARPANET host availability data,1972,arpanet,link-layer / arpanet
RFC309,Data and File Transfer Workshop Announcement,1972,ftp;workshop-reports,applications-and-data-formats / ftp | governance-and-process / workshop-reports
RFC310,Another Look at Data and File Transfer Protocols,1972,ftp,applications-and-data-formats / ftp
RFC311,New Console Attachments to the USCB Host,1972,arpanet,link-layer / arpanet
RFC312,Proposed Change in IMP-to-Host Protocol,1972,arpanet,link-layer / arpanet
RFC313,Computer based instruction,1972,arpanet,link-layer / arpanet
RFC314,Network Graphics Working Group Meeting,1972,network-graphics,applications-and-data-formats / network-graphics
RFC315,Network Host Status,1972,arpanet,link-layer / arpanet
RFC316,ARPA Network Data Management Working Group,1972,arpanet,link-layer / arpanet
RFC317,Official Host-Host Protocol Modification: Assigned Link Numbers,1972,ncp,transport / ncp
RFC318,Telnet Protocols,1972,telnet,applications-and-data-formats / telnet
RFC319,Network Host Status,1972,arpanet,link-layer / arpanet
RFC320,Workshop on Hard Copy Line Graphics,1972,network-graphics;workshop-reports,applications-and-data-formats / network-graphics | governance-and-process / workshop-reports
RFC321,CBI Networking Activity at MITRE,1972,arpanet,link-layer / arpanet
RFC322,Well known socket numbers,1972,arpanet,link-layer / arpanet
RFC323,Formation of Network Measurement Group (NMG),1972,performance-measurement,network-operations / performance-measurement
RFC324,RJE Protocol meeting,1972,rje,applications-and-data-formats / rje
RFC325,Network Remote Job Entry program - NETRJS,1972,rje,applications-and-data-formats / rje
RFC326,Network Host Status,1972,arpanet,link-layer / arpanet
RFC327,Data and File Transfer workshop notes,1972,workshop-reports,governance-and-process / workshop-reports
RFC328,Suggested Telnet Protocol Changes,1972,telnet,applications-and-data-formats / telnet
RFC329,ARPA Network Mailing Lists,1972,mailing-lists;arpanet,link-layer / arpanet | messaging / email / mailing-lists
RFC330,Network Host Status,1972,arpanet,link-layer / arpanet
RFC331,IMP System Change Notification,1972,arpanet,link-layer / arpanet
RFC332,Network Host Status,1972,arpanet,link-layer / arpanet
RFC333,Proposed experiment with a Message Switching Protocol,1972,arpanet,link-layer / arpanet
RFC334,Network Use on May 8,1972,arpanet,link-layer / arpanet
RFC335,New Interface - IMP/360,1972,arpanet,link-layer / arpanet
RFC336,Level 0 Graphic Input Protocol,1972,network-graphics,applications-and-data-formats / network-graphics
RFC338,EBCDIC/ASCII Mapping for Network RJE,1972,rje;character-sets,applications-and-data-formats / internationalization / character-sets | applications-and-data-formats / rje
RFC339,"MLTNET: A ""Multi Telnet"" Subsystem for Tenex",1972,telnet,applications-and-data-formats / telnet
RFC340,Proposed Telnet Changes,1972,telnet,applications-and-data-formats / telnet
RFC342,Network Host Status,1972,arpanet,link-layer / arpanet
RFC343,IMP System change notification,1972,arpanet,link-layer / arpanet
RFC344,Network Host Status,1972,arpanet,link-layer / arpanet
RFC345,Interest in Mixed Integer Programming (MPSX on NIC 360/91 at CCN),1972,icn,internet-layer / icn
RFC346,Satellite Considerations,1972,satellite,link-layer / satellite
RFC347,Echo process,1972,arpanet,link-layer / arpanet
RFC348,Discard Process,1972,arpanet,link-layer / arpanet
RFC349,Proposed Standard Socket Numbers,1972,arpanet,link-layer / arpanet
RFC350,User Accounts for UCSB On-Line System,1972,arpanet,link-layer / arpanet
RFC351,Graphics information form for the ARPANET graphics resources notebook,1972,arpanet;network-graphics,applications-and-data-formats / network-graphics | link-layer / arpanet
RFC352,TIP Site Information Form,1972,arpanet,link-layer / arpanet
RFC353,Network host status,1972,arpanet,link-layer / arpanet
RFC354,File Transfer Protocol,1972,ftp,applications-and-data-formats / ftp
RFC355,Response to NWG/RFC 346,1972,arpanet,link-layer / arpanet
RFC356,ARPA Network Control Center,1972,arpanet,link-layer / arpanet
RFC357,Echoing strategy for satellite links,1972,satellite,link-layer / satellite
RFC359,Status of the Release of the New IMP System (2600),1972,arpanet,link-layer / arpanet
RFC360,Proposed Remote Job Entry Protocol,1972,rje,applications-and-data-formats / rje
RFC361,Deamon Processes on Host 106,1972,arpanet,link-layer / arpanet
RFC362,Network Host Status,1972,arpanet,link-layer / arpanet
RFC363,ARPA Network mailing lists,1972,mailing-lists;arpanet,link-layer / arpanet | messaging / email / mailing-lists
RFC364,Serving remote users on the ARPANET,1972,arpanet,link-layer / arpanet
RFC365,Letter to All TIP Users,1972,arpanet,link-layer / arpanet
RFC366,Network Host Status,1972,arpanet,link-layer / arpanet
RFC367,Network host status,1972,arpanet,link-layer / arpanet
RFC368,"Comments on ""Proposed Remote Job Entry Protocol""",1972,rje,applications-and-data-formats / rje
RFC369,"Evaluation of ARPANET services January-March, 1972",1972,arpanet,link-layer / arpanet
RFC370,Network Host Status,1972,arpanet,link-layer / arpanet
RFC371,Demonstration at International Computer Communications Conference,1972,arpanet,link-layer / arpanet
RFC372,Notes on a Conversation with Bob Kahn on the ICCC,1972,arpanet,link-layer / arpanet
RFC373,Arbitrary Character Sets,1972,character-sets,applications-and-data-formats / internationalization / character-sets
RFC374,IMP System Announcement,1972,arpanet,link-layer / arpanet
RFC376,Network Host Status,1972,arpanet,link-layer / arpanet
RFC377,Using TSO via ARPA Network Virtual Terminal,1972,arpanet;telnet,applications-and-data-formats / telnet | link-layer / arpanet
RFC378,Traffic statistics (July 1972),1972,arpanet,link-layer / arpanet
RFC379,Using TSO at CCN,1972,icn,internet-layer / icn
RFC381,Three aids to improved network operation,1972,arpanet,link-layer / arpanet
RFC382,Mathematical Software on the ARPA Network,1972,arpanet,link-layer / arpanet
RFC384,Official site idents for organizations in the ARPA Network,1972,arpanet,link-layer / arpanet
RFC385,Comments on the File Transfer Protocol,1972,ftp,applications-and-data-formats / ftp
RFC386,Letter to TIP users-2,1972,arpanet,link-layer / arpanet
RFC387,Some experiences in implementing Network Graphics Protocol Level 0,1972,network-graphics,applications-and-data-formats / network-graphics
